"old_names","new_names"
"STM2797","STM2797"
"ygaP","ygaP"
"emrB","emrB"
"alaS","alaS"
"srlE","srlE"
"srlD","srlD"
"hypF","hypF"
"hycI","hycI"
"hypB","hypB"
"hypD","hypD"
"hypE","hypE"
"pphB","pphB"
"STM2911","STM2911"
"STM2912","STM2912"
"STM2913","STM2913"
"ygbM","ygbM"
"STM2920","STM2920"
"STM2921","STM2921"
"pcm","pcm"
"truD","truD"
"ispF","ispF"
"ispD","ispD"
"ygcB","ygcB"
"STM2950","STM2950"
"mazG","mazG"
"relA","relA"
"rlmD","rlmD"
"truC","truC"
"sdaB","sdaB"
"xni","ygdG"
"fucO","fucO"
"fucA","fucA"
"fucI","fucI"
"fucK","fucK"
"fucU","fucU"
"STM2986","STM2986"
"ygdL","tcdA"
"mltA","mltA"
"amiC","amiC"
